RUN	performance.UserSimulation	usersimulation	1594696033675	 	3.0.2
USER	GET method should return 200	1	START	1594696033930	1594696033930
REQUEST	1		GET /api/users/2	1594696035190	1594696035700	OK	 
USER	GET method should return 200	1	END	1594696033930	1594696035706
USER	GET method should return 200	2	START	1594696035719	1594696035719
REQUEST	2		GET /api/users/2	1594696035739	1594696036092	OK	 
USER	GET method should return 200	2	END	1594696035719	1594696036101
USER	GET method should return 200	3	START	1594696036714	1594696036714
USER	GET method should return 200	4	START	1594696036918	1594696036918
REQUEST	3		GET /api/users/2	1594696036761	1594696036993	OK	 
USER	GET method should return 200	3	END	1594696036714	1594696036998
REQUEST	4		GET /api/users/2	1594696036944	1594696037319	OK	 
USER	GET method should return 200	4	END	1594696036918	1594696037321
USER	GET method should return 200	5	START	1594696037918	1594696037918
REQUEST	5		GET /api/users/2	1594696037972	1594696038473	OK	 
USER	GET method should return 200	5	END	1594696037918	1594696038522
USER	GET method should return 200	6	START	1594696038919	1594696038919
REQUEST	6		GET /api/users/2	1594696038955	1594696039181	OK	 
USER	GET method should return 200	6	END	1594696038919	1594696039195
USER	GET method should return 200	7	START	1594696039912	1594696039912
REQUEST	7		GET /api/users/2	1594696039975	1594696040323	OK	 
USER	GET method should return 200	7	END	1594696039912	1594696040330
USER	GET method should return 200	8	START	1594696040912	1594696040912
REQUEST	8		GET /api/users/2	1594696040948	1594696041230	OK	 
USER	GET method should return 200	8	END	1594696040912	1594696041243
USER	GET method should return 200	9	START	1594696041910	1594696041910
REQUEST	9		GET /api/users/2	1594696041941	1594696042227	OK	 
USER	GET method should return 200	9	END	1594696041910	1594696042230
USER	GET method should return 200	10	START	1594696042910	1594696042910
REQUEST	10		GET /api/users/2	1594696042963	1594696043275	OK	 
USER	GET method should return 200	10	END	1594696042910	1594696043289
