RUN	performance.UserSimulation	usersimulation	1595771973559	 	3.0.2
USER	GET method should return 200	1	START	1595771973848	1595771973848
REQUEST	1		GET /api/users/2	1595771975188	1595771975657	OK	 
USER	GET method should return 200	1	END	1595771973848	1595771975664
USER	GET method should return 200	2	START	1595771975725	1595771975725
REQUEST	2		GET /api/users/2	1595771975769	1595771976004	OK	 
USER	GET method should return 200	2	END	1595771975725	1595771976009
USER	GET method should return 200	3	START	1595771976725	1595771976725
USER	GET method should return 200	4	START	1595771976847	1595771976847
REQUEST	4		GET /api/users/2	1595771976864	1595771977096	OK	 
REQUEST	3		GET /api/users/2	1595771976773	1595771977097	OK	 
USER	GET method should return 200	4	END	1595771976847	1595771977099
USER	GET method should return 200	3	END	1595771976725	1595771977100
USER	GET method should return 200	5	START	1595771977835	1595771977835
REQUEST	5		GET /api/users/2	1595771977886	1595771978188	OK	 
USER	GET method should return 200	5	END	1595771977835	1595771978195
USER	GET method should return 200	6	START	1595771978844	1595771978844
REQUEST	6		GET /api/users/2	1595771978899	1595771979143	OK	 
USER	GET method should return 200	6	END	1595771978844	1595771979145
USER	GET method should return 200	7	START	1595771979844	1595771979844
REQUEST	7		GET /api/users/2	1595771979897	1595771980235	OK	 
USER	GET method should return 200	7	END	1595771979844	1595771980238
USER	GET method should return 200	8	START	1595771980835	1595771980835
REQUEST	8		GET /api/users/2	1595771980876	1595771981191	OK	 
USER	GET method should return 200	8	END	1595771980835	1595771981194
USER	GET method should return 200	9	START	1595771981843	1595771981843
REQUEST	9		GET /api/users/2	1595771981881	1595771982149	OK	 
USER	GET method should return 200	9	END	1595771981843	1595771982152
USER	GET method should return 200	10	START	1595771982845	1595771982845
REQUEST	10		GET /api/users/2	1595771982889	1595771983241	OK	 
USER	GET method should return 200	10	END	1595771982845	1595771983244
