RUN	performance.UserSimulation	usersimulation	1594610827112	 	3.0.2
USER	GET method should return 200	1	START	1594610827406	1594610827406
REQUEST	1		GET /api/users/2	1594610828535	1594610828966	OK	 
USER	GET method should return 200	1	END	1594610827406	1594610828968
USER	GET method should return 200	2	START	1594610829088	1594610829088
REQUEST	2		GET /api/users/2	1594610829144	1594610829491	OK	 
USER	GET method should return 200	2	END	1594610829088	1594610829489
USER	GET method should return 200	3	START	1594610830091	1594610830091
REQUEST	3		GET /api/users/2	1594610830131	1594610830362	OK	 
USER	GET method should return 200	3	END	1594610830091	1594610830366
USER	GET method should return 200	4	START	1594610830403	1594610830403
REQUEST	4		GET /api/users/2	1594610830428	1594610830814	OK	 
USER	GET method should return 200	4	END	1594610830403	1594610830818
USER	GET method should return 200	5	START	1594610831396	1594610831396
REQUEST	5		GET /api/users/2	1594610831451	1594610831729	OK	 
USER	GET method should return 200	5	END	1594610831396	1594610831731
USER	GET method should return 200	6	START	1594610832396	1594610832396
REQUEST	6		GET /api/users/2	1594610832449	1594610832871	OK	 
USER	GET method should return 200	6	END	1594610832396	1594610832875
USER	GET method should return 200	7	START	1594610833421	1594610833421
REQUEST	7		GET /api/users/2	1594610833489	1594610833784	OK	 
USER	GET method should return 200	7	END	1594610833421	1594610833778
USER	GET method should return 200	8	START	1594610834408	1594610834408
REQUEST	8		GET /api/users/2	1594610834451	1594610834739	OK	 
USER	GET method should return 200	8	END	1594610834408	1594610834734
USER	GET method should return 200	9	START	1594610835396	1594610835396
REQUEST	9		GET /api/users/2	1594610835436	1594610835689	OK	 
USER	GET method should return 200	9	END	1594610835396	1594610835707
USER	GET method should return 200	10	START	1594610836386	1594610836386
REQUEST	10		GET /api/users/2	1594610836421	1594610836693	OK	 
USER	GET method should return 200	10	END	1594610836386	1594610836686
