RUN	performance.UserSimulation	usersimulation	1594695393877	 	3.0.2
USER	GET method should return 200	1	START	1594695394474	1594695394474
USER	GET method should return 200	2	START	1594695396166	1594695396166
REQUEST	2		GET /api/users/2	1594695396220	1594695397009	OK	 
REQUEST	1		GET /api/users/2	1594695395645	1594695397028	OK	 
USER	GET method should return 200	2	END	1594695396166	1594695397019
USER	GET method should return 200	1	END	1594695394474	1594695397034
USER	GET method should return 200	3	START	1594695397165	1594695397165
USER	GET method should return 200	4	START	1594695397447	1594695397447
REQUEST	3		GET /api/users/2	1594695397223	1594695397635	OK	 
USER	GET method should return 200	3	END	1594695397165	1594695397644
REQUEST	4		GET /api/users/2	1594695397494	1594695397779	OK	 
USER	GET method should return 200	4	END	1594695397447	1594695397786
USER	GET method should return 200	5	START	1594695398444	1594695398444
REQUEST	5		GET /api/users/2	1594695398473	1594695398821	OK	 
USER	GET method should return 200	5	END	1594695398444	1594695398837
USER	GET method should return 200	6	START	1594695399456	1594695399456
REQUEST	6		GET /api/users/2	1594695399502	1594695399837	OK	 
USER	GET method should return 200	6	END	1594695399456	1594695399848
USER	GET method should return 200	7	START	1594695400445	1594695400445
REQUEST	7		GET /api/users/2	1594695400497	1594695400737	OK	 
USER	GET method should return 200	7	END	1594695400445	1594695400748
USER	GET method should return 200	8	START	1594695401444	1594695401444
REQUEST	8		GET /api/users/2	1594695401467	1594695401886	OK	 
USER	GET method should return 200	8	END	1594695401444	1594695401903
USER	GET method should return 200	9	START	1594695402448	1594695402448
REQUEST	9		GET /api/users/2	1594695402493	1594695402833	OK	 
USER	GET method should return 200	9	END	1594695402448	1594695402847
USER	GET method should return 200	10	START	1594695403434	1594695403434
REQUEST	10		GET /api/users/2	1594695403448	1594695403780	OK	 
USER	GET method should return 200	10	END	1594695403434	1594695403789
